keyType;keyHASH;anchorURL;anchorHASH;contentHASH;httpCode;hashMatches;validJSON;validJSONLD;extraInfo
keyHash;f9c4b1badf4964270153d26404de46ba512a1cc5c19ba732736063e1;https://ipfs.io/ipfs/QmbUEusUQFgzTqXzQqWunrtkRymuwnNiBPdzDF1pQtsCtN;0792b7c1f13576384de3fa5bae0ea3c1e97983aa7fbbf5bae586e60fdcaef687;0792b7c1f13576384de3fa5bae0ea3c1e97983aa7fbbf5bae586e60fdcaef687;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
keyHash;fa036560e5f2a003aa8de6d5f94961524aaab9677618784f4228b9ad;-;-;;;;;;
keyHash;fabd3eee7e7652b40f9e3aca02b6941a036233a7b5de02c231256a07;https://raw.githubusercontent.com/Coldheat22/DREP_Cardano/main/COLDHEAT_3.jsonld;ce0f8d45fe8517ea721951823509126a8093e7f70b333151cebfc408bf38e4fd;ce0f8d45fe8517ea721951823509126a8093e7f70b333151cebfc408bf38e4fd;200;YES;YES;YES;no authors in the authors-array
keyHash;fb037a25ea805ba14a659e31774d72c4119358206b6b1b7b403a5515;-;-;;;;;;
keyHash;fb20ff3ccbcfac9e4e7b32b4ffcf0748f5a1879e309657a44582b39a;-;-;;;;;;
keyHash;fb9f3a5481c3c380642b13898085f3b471175f4a44e10f1566461b24;https://github.com/tobg/Cardano_Pool/blob/master/docs/stakit.jsonld;52b717199daf542ffcdd1be14e4541cd6814a7bdbbc66f4ef25cc7afad2ba4ed;;200;;NO;;not a valid JSON format
keyHash;fbb04f0ce09437f576719c8c4e82da0db7964f42be8c0c3e6b409827;https://fairpool.eu/drep_metadata.json;e52e595143ad671b8180e958a5d2611011d2280ab11f763052cbc340beee6dfc;0eea6673975a3ee841d2a0b460947be172e714614676ae22ead1052f006a8134;200;NO;YES;;
keyHash;fbc9c1ce0916695952efb14870c390a9e62c151905cf047636f75734;https://raw.githubusercontent.com/toshimiyatake/MYTK/refs/heads/master/MiyatakeJapan%20(2).jsonld;80ed7954831be29c5ad3e81461bd982c620bbd7d9f968b59478e50d42845b493;80ed7954831be29c5ad3e81461bd982c620bbd7d9f968b59478e50d42845b493;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
keyHash;fc5ad4e0c33bf972d12fce839be9f0d979e8f76928cbd8702c0f8212;-;-;;;;;;
keyHash;fcc1946fe92b7f27a8b21d6639bffc72be07157b2745ef204d7467c0;https://raw.githubusercontent.com/Birdlord69/drepupdate-122024-/refs/heads/main/Nathan%20Angelo%20Lopez%20Kanapi.jsonld;7b0f9b159144c7421661fa8dabb76fdb8906de04880d0d7b8db20af3be20e542;7b0f9b159144c7421661fa8dabb76fdb8906de04880d0d7b8db20af3be20e542;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
keyHash;fd74b7ff13ffe7fb93b5ca852605cc68dfe9a5aad9224e77aae88769;https://raw.githubusercontent.com/CardanoLotus/Drep/refs/heads/main/Cardanolotus.jsonld;23955a31d53c7724b36c8a7e53c37c7f9bae8f7f3a0288e7623eb88d45142cf9;23955a31d53c7724b36c8a7e53c37c7f9bae8f7f3a0288e7623eb88d45142cf9;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
keyHash;fd7d1873d4ff8f0e39448588020aa409d277e1fe3bfaaa728be61ca6;-;-;;;;;;
keyHash;fd9530a5f6d267794b53053eaf9077499137dec17e1b77a42e5992a6;-;-;;;;;;
keyHash;fdec0e7b970169151874a50e0f22f41fe95dd722eb0e1a11364095e2;https://neeup.com/drep/JAZZ.jsonld;101d6afef99f9c540b297ef22b5dda238bcc5607eed416002ccf5e7738cb7e79;101d6afef99f9c540b297ef22b5dda238bcc5607eed416002ccf5e7738cb7e79;200;YES;YES;YES;no authors in the authors-array
keyHash;fe343e5edb3c304e3b3fd7120e3c9a7ecfbc8cf89180e082eb05552e;-;-;;;;;;
keyHash;ff1e7f74f11fc382366c8155ac1f54f1f7cfb633c60df47d1f41c513;-;-;;;;;;
